The_Grotto_raw_linear_pq.hdr 0.8308 27.9955 30.9615 6.3940
The_Grotto_raw_linear_pu.hdr 0.7937 27.1756 29.8903 5.9474
The_Grotto_raw_linear_smape.hdr 0.8214 27.7718 30.6938 6.2725
The_Grotto_raw_linear_mu.hdr 0.8413 28.1479 31.3250 6.5319

Zentrum_raw_mu_l1.hdr 0.7356 28.5239 29.3194 6.4416
Zentrum_raw_pu21_l1.hdr 0.7030 27.5768 28.2439 6.0811
Zentrum_raw_naive.hdr 0.5694 21.2457 21.2594 4.1217
Zentrum_raw_linear_l1.hdr 0.6582 26.2781 27.3915 5.4063
Zentrum_raw_pu_l1.hdr 0.7193 28.0781 28.8380 6.2716
Zentrum_raw_pq_l1.hdr 0.7435 28.7109 29.5628 6.5770
Zentrum_raw_linear_pq.hdr 0.7347 28.6152 29.5580 6.4687
Zentrum_raw_linear_pu.hdr 0.6968 27.6099 28.2648 5.9358
Zentrum_raw_linear_smape.hdr 0.7270 28.3696 29.2446 6.3578
Zentrum_raw_linear_mu.hdr 0.7373 28.6416 29.6618 6.4959

navie_psnr_rgb = [24.7153, 20.9656, 17.4909, 20.9837, 18.928, 16.443, 27.54, 23.8452, 19.4653, 25.6291, 21.5481, 19.5644, 23.2587, 22.3218, 23.865, 23.9706, 22.2085, 21.2457]
linear_psnr_rgb = [28.7975, 25.7233, 19.0987, 23.9416, 24.0867, 17.4473, 31.0411, 30.9736, 18.6333, 30.2106, 19.5575, 21.8702, 29.9108, 29.4591, 32.057, 30.4405, 26.857, 26.2781]
log_psnr_rgb = []
pu_psnr_rgb = [31.5926, 26.7249, 20.9615, 24.7172, 24.8576, 22.2844, 32.7396, 35.0644, 26.6323, 33.2899, 27.3732, 26.2922, 32.6324, 31.8622, 33.6037, 32.2855, 27.6172, 28.0781]
pq_psnr_rgb = [32.5242, 27.3095, 21.2231, 25.1453, 25.4492, 22.3763, 33.218, 36.248, 27.0733, 33.9532, 27.2183, 26.6819, 33.2321, 32.7986, 34.3717, 32.9869, 28.041, 28.7109]
linear_smape_psnr_rgb = [31.4859, 26.9728, 20.4874, 24.7028, 25.09, 22.3021, 32.6007, 35.5708, 26.4297, 33.3834, 24.5588, 24.8841, 32.3904, 32.2987, 34.1403, 32.7499, 27.7718, 28.3696]
linear_pu_psnr_rgb = [30.4438, 25.8987, 17.0157, 24.0434, 24.3467, 20.9868, 31.938, 34.1624, 15.4929, 32.6456, 15.1637, 22.8893, 31.1995, 31.0032, 32.96, 30.2505, 27.1756, 27.6099]
linear_pq_psnr_rgb = [31.6888, 26.4785, 15.5488, 24.5125, 25.4088, 20.9241, 32.7348, 36.0821, 12.5999, 33.7131, 15.0874, 22.6424, 31.8172, 32.4378, 34.3872, 30.9606, 27.9955, 28.6152]
linear_mu_psnr_rgb = [31.7088, 27.4839, 21.2631, 25.1642, 25.6879, 22.3956, 32.7369, 36.0145, 26.4821, 33.7114, 23.8357, 25.1915, 32.7244, 32.6106, 34.592, 33.1967, 28.1479, 28.6416]
