EDSR
t statistic: -2.7234627089745396
p value: 0.009370920415052452
El_Capitan_aug_1_raw_pq_l1.hdr 60.2547 82.8930 9.9800
El_Capitan_aug_1_raw_pu_l1.hdr 60.2549 82.8933 9.9800


El_Capitan_aug_2_raw_naive.hdr 48.2603 64.5865 9.7582
El_Capitan_aug_2_raw_linear_l1.hdr 43.7418 57.4710 9.4359
El_Capitan_aug_2_raw_pq_l1.hdr 49.1867 66.0199 9.8104
El_Capitan_aug_2_raw_pu_l1.hdr 48.9882 65.7576 9.8038


El_Capitan_aug_3_raw_naive.hdr 46.2653 60.4124 9.6390
El_Capitan_aug_3_raw_linear_l1.hdr 40.9581 52.7381 9.1349
El_Capitan_aug_3_raw_pq_l1.hdr 47.3620 62.0836 9.7223
El_Capitan_aug_3_raw_pu_l1.hdr 47.1466 61.7524 9.7098


El_Capitan_aug_4_raw_naive.hdr 40.7656 46.7104 8.8337
El_Capitan_aug_4_raw_linear_l1.hdr 31.6672 36.8255 7.0101
El_Capitan_aug_4_raw_pq_l1.hdr 42.0464 48.9564 9.1216
El_Capitan_aug_4_raw_pu_l1.hdr 41.7962 48.5427 9.0874


El_Capitan_aug_5_raw_naive.hdr 39.4986 41.2926 8.2402
El_Capitan_aug_5_raw_linear_l1.hdr 26.1308 28.5516 5.0228
El_Capitan_aug_5_raw_pq_l1.hdr 40.8047 43.0668 8.5914
El_Capitan_aug_5_raw_pu_l1.hdr 40.5197 42.7143 8.5449


Flamingo_raw_naive.hdr 36.1996 40.5370 8.2492
Flamingo_raw_linear_l1.hdr 27.3350 28.8777 7.3931
Flamingo_raw_pq_l1.hdr 36.3704 40.6258 8.2389
Flamingo_raw_pu_l1.hdr 36.2016 40.4852 8.2170


Flamingo_aug_1_raw_naive.hdr 36.5488 42.0332 8.3945
Flamingo_aug_1_raw_linear_l1.hdr 24.9346 26.1565 7.0741
Flamingo_aug_1_raw_pq_l1.hdr 36.8918 42.3766 8.4309
Flamingo_aug_1_raw_pu_l1.hdr 36.5607 42.1323 8.3993


Flamingo_aug_2_raw_naive.hdr 39.2254 43.6047 8.6481
Flamingo_aug_2_raw_linear_l1.hdr 21.6117 22.3506 5.5988
Flamingo_aug_2_raw_pq_l1.hdr 40.3364 45.6584 8.9844
Flamingo_aug_2_raw_pu_l1.hdr 38.0969 44.3099 8.8320


Flamingo_aug_3_raw_naive.hdr 39.5633 43.4614 8.6259
Flamingo_aug_3_raw_linear_l1.hdr 21.3428 22.0095 5.4424
Flamingo_aug_3_raw_pq_l1.hdr 40.7960 45.6891 8.9877
Flamingo_aug_3_raw_pu_l1.hdr 38.2549 44.2570 8.8312


Flamingo_aug_4_raw_naive.hdr 40.2168 43.1609 8.6199
Flamingo_aug_4_raw_linear_l1.hdr 20.3191 20.7384 5.0108
Flamingo_aug_4_raw_pq_l1.hdr 41.7826 45.7169 8.9995
Flamingo_aug_4_raw_pu_l1.hdr 38.1777 43.7826 8.8010


Flamingo_aug_5_raw_naive.hdr 41.0378 43.4710 8.6685
