The_Grotto_raw_linear_mu.hdr 56.3923 79.0607 9.9647
The_Grotto_raw_linear_pu.hdr 17.1004 17.0998 9.9647
The_Grotto_raw_linear_pq.hdr 56.3873 79.0583 9.9648
The_Grotto_raw_linear_l1.hdr 56.0839 78.5086 9.9574
The_Grotto_raw_pq_l1.hdr 56.3842 79.0546 9.9648
The_Grotto_raw_pu_l1.hdr 56.3941 79.0637 9.9648

Zentrum_raw_linear_smape.hdr 37.7290 40.6873 8.2367
Zentrum_raw_linear_mu.hdr 37.6625 40.2784 8.1345
Zentrum_raw_linear_pu.hdr 17.9827 17.7797 6.9977
Zentrum_raw_linear_pq.hdr 37.8361 40.7041 8.2189
Zentrum_raw_linear_l1.hdr 34.7867 38.5534 7.6987
Zentrum_raw_pq_l1.hdr 38.0592 40.8861 8.3386
Zentrum_raw_pu_l1.hdr 37.7799 40.6436 8.1387

navie_psnr_rgb = []
linear_psnr_rgb = [39.552, 37.96, 44.413, 36.3404, 44.9715, 62.8294, 31.8321, 46.9219, 38.8591, 33.2673, 37.0759, 36.0775, 37.5182, 46.1252, 41.6028, 59.3977, 48.6841, 56.0839, 34.7867]
log_psnr_rgb = []
pu_psnr_rgb = [41.6488, 40.9788, 46.3862, 37.7464, 45.2379, 63.409, 35.9753, 49.8278, 47.4584, 40.07, 47.5453, 42.9086, 39.9716, 50.1323, 48.8575, 61.7352, 51.3474, 56.3941, 37.7799]
pq_psnr_rgb = [42.2959, 41.6713, 46.4551, 37.825, 45.3082, 63.409, 35.9924, 50.2121, 49.0661, 40.3859, 48.255, 42.8695, 40.1916, 50.2362, 50.3062, 61.1561, 51.2852, 56.3842, 38.0592]
linear_smape_psnr_rgb = [41.3677, 40.8596, 46.415, 36.6015, 45.0615, 63.409, 35.8319, 49.5969, 48.0378, 39.5925, 47.7671, 37.9371, 39.3983, 50.1079, 48.6901, 61.8311, 50.9169, 56.3969, 37.729]
linear_pu_psnr_rgb = [17.5871, 17.4536, 17.118, 17.1546, 17.107, 17.0998, 18.03, 17.1409, 17.8358, 17.4204, 18.0276, 17.719, 17.5588, 17.1474, 17.4626, 17.1, 17.1064, 17.1004, 17.9827]
linear_pq_psnr_rgb = [40.9055, 40.8807, 46.077, 36.0817, 45.0969, 63.409, 35.7032, 49.6381, 48.3594, 33.8173, 48.0613, 36.336, 39.2837, 49.7773, 48.5918, 61.2248, 49.8603, 56.3873, 37.8361]
linear_mu_psnr_rgb = [41.3051, 40.2933, 46.5344, 37.5954, 45.1479, 63.409, 35.6586, 48.3904, 47.6135, 39.1317, 47.3983, 35.975, 39.223, 49.2194, 47.8093, 61.8456, 51.1123, 56.3923, 37.6625]
navie_psnr_y = []
linear_psnr_y = [41.6474, 40.6892, 54.5474, 59.2161, 67.8149, 85.6339, 36.5602, 47.7748, 41.1336, 37.5792, 37.272, 40.5549, 41.2979, 49.9379, 45.0099, 75.0587, 55.8133, 78.5086, 38.5534]
log_psnr_y = []
pu_psnr_y = [43.4159, 43.2821, 57.9073, 60.6918, 68.1455, 86.2484, 40.5629, 50.3338, 50.2041, 53.1879, 50.5549, 48.98, 43.4397, 53.4713, 50.6708, 83.817, 62.353, 79.0637, 40.6436]
